;Last Week;Today;Weekly Change;As of Jan 2nd;YTD
Dow Jones;24538,00;25335,74;0,032510392;24824.01;0.02061431654273436
S&P 500;2691,00;2786,57;0,035514679;2695.81;0.033667061105938555
FTSE 100;7070,00;7224,51;0,021854314;7648.1;-0.05538499758109859
DAX ;11914,00;12346,68;0,036316938;12871.39;-0.040765604957972615
CAC 40;5137,00;5274,40;0,026747129;5288.6;-0.0026850206103696114
Shanghai Comp.;3255,00;3307,17;0,016026421;3348.33;-0.012293889789835458
Stoxx 50;3325,00;3420,54;0,028733835;3509.88;-0.025453861670484502
VIX;19,59;14,64;-0,252679939;9.77;0.4984646878198568
Brent;64,37;65,49;0,01739941;66.57;-0.016223524109959416
Gold Spot $/oz;1322,00;1323,93;0,001459909;1317.31;0.005025392656246532
EUR/USD;1,23;1,23;-0,000811886;1.2059;0.020565552699228738
EUR/GBP;0,89;0,89;-0,004592808;0.8875;0.0012394366197182986
Libor USD 3M;0,23;0,02;-0,909184783;0.0169693;0.23089932996646886
Euribor 3M;0,00;0,00;-0,009090909;-0.00329;-0.006079027355622985
UST 10Y;0,03;0,03;0,011818182;0.024633;0.1747655583972721
Germany 10Y;0,01;0,01;-0,003076923;0.0046700000000000005;0.38758029978586717
France 10Y;0,01;0,01;-0,031521739;0.00823;0.08262454434993925
Bitcoin;11124,00;8654,80;-0,221970514;14982.1;-0.4223239732747746
