,Last Week,Today,Weekly Change,As of Jan 2nd,YTD
Dow Jones,24102.10745,24360,1.07,24824.01,-0.018691984
S&P 500,2640.684033,2656,0.58,2695.81,-0.014767361
FTSE 100,7056.823701,7265,2.95,7648.1,-0.050090872
DAX,12096.05289,12442,2.86,12871.39,-0.033360033
CAC 40,5167.217577,5315,2.86,5288.6,0.004991869
Shanghai Comp.,3168.823352,3159,-0.31,3348.33,-0.056544606
Stoxx 50,3361.606708,3448,2.57,3509.88,-0.017630232
VIX,19.97017665,17.41,-12.82,9.77,0.78198567
Brent,69.34174071,72.58,4.67,66.57,0.090280907
Gold Spot $/oz,1325.521859,1346.2,1.56,1317.31,0.021931056
EUR/USD,1.232360584,1.2331,0.06,1.2059,0.022555767
EUR/GBP,0.87912311,0.8662,-1.47,0.8875,-0.024
Libor 3M,0.023141,0.0235,3.59,0.0169693,65.08
Euribor 3M,-0.00329,-0.0033,-0.1,-0.00329,0
UST 10Y,0.027422,0.0283,8.78,0.024633,36.34
Germany 10Y,0.00496,0.0051,1.4,0.00467,4.4
France 10Y,0.0072,0.0074,2,0.00823,-8.2
Bitcoin,6946.269678,8118.8,16.88,14982.1,-0.458099999
