,Last Week,Today,Weekly Change,As of Jan 2nd,YTD
Dow Jones,24103.11,24103.11,0.024217276018561006,24824.01,-0.029040433032374618
S&P 500,2640.87,2640.87,0.02032639688439325,2695.81,-0.02037977453900685
FTSE 100,7056.61,7056.61,0.019455528363435694,7648.1,-0.07733816241942452
DAX ,12096.73,12096.73,0.017702718505574908,12871.39,-0.060184642062745354
CAC 40,5167.3,5167.3,0.014146592296309074,5288.6,-0.022936126763226594
Shanghai Comp.,3168.896,3168.896,0.005117736485575728,3348.33,-0.05358910262727979
Stoxx 50,3361.5,3361.5,0.019232460196417854,3509.88,-0.04227494957092553
VIX,19.97,19.97,-0.19702452754322486,9.77,1.0440122824974412
Brent,69.34,69.34,-0.01575585521646557,66.57,0.04161033498572946
Gold Spot $/oz,1325.48,1325.48,-0.016217259320285237,1317.31,0.006202032930745286
EUR/USD,1.2324,1.2324,-0.00234760786853406,1.2059,0.02197528816651461
EUR/GBP,0.8791,0.8791,0.005605124685426693,0.8875,-0.009464788732394326
Libor USD 3M,0.0231175,0.0231175,2.0199999999999734,0.0169693,61.48199999999999
Euribor 3M,-0.00328,-0.00328,0.10000000000000026,-0.00329,0.10000000000000026
UST 10Y,0.027389,0.027389,-7.460000000000036,0.024633000000000002,27.55999999999998
Germany 10Y,0.00497,0.00497,-3.000000000000008,0.0046700000000000005,2.9999999999999907
France 10Y,0.007209999999999999,0.007209999999999999,-3.80000000000001,0.00823,-10.200000000000001
Bitcoin,6625.0,6625.0,-0.2210464432686655,14982.1,-0.5578056480733675
