,Securities,Today,Weekly Change,YTD
0,Dow Jones,24 360,"1,07%","-1,87%"
1,S&P 500,2 656,"0,58%","-1,47%"
2,FTSE 100,7 265,"2,95%","-5,01%"
3,DAX ,12 442,"2,86%","-3,33%"
4,CAC 40,5 315,"2,86%","0,50%"
5,"Shanghai Comp,",3 159,"-0,31%","-5,65%"
6,Stoxx 50,3 448,"2,57%","-1,76%"
7,VIX,"17,41","-12,82%","78,20%"
8,Brent,"72,58","4,67%","9,03%"
9,Gold Spot $/oz,"1346,2","1,56%","2,19%"
10,EUR/USD,"1,2331","0,06%","2,26%"
11,EUR/GBP,"0,8662","-1,47%","-2,40%"
12,Libor USD 3M,"2,35%","3,59 bps","65,08 bps"
13,Euribor 3M,"-0,33%","-0,10 bps","0,00 bps"
14,UST 10Y,"2,83%","8,78 bps","36,34 bps"
15,Germany 10Y,"0,51%","1,40 bps","4,40 bps"
16,France 10Y,"0,74%","2,00 bps","-8,20 bps"
17,Bitcoin,"8 082,0","22,00%","-46,05%"
