,Securities,Today,Weekly Change,YTD
0,Dow Jones,23 533,"-5,67%","-5,20%"
1,S&P 500,2 588,"-5,95%","-3,99%"
2,FTSE 100,6 922,"-3,38%","-9,49%"
3,DAX ,11 886,"-4,06%","-7,65%"
4,CAC 40,5 095,"-3,55%","-3,66%"
5,"Shanghai Comp,",3 153,"-3,58%","-5,84%"
6,Stoxx 50,3 298,"-4,05%","-6,03%"
7,VIX,"24,87","57,41%","154,55%"
8,Brent,"70,45","6,40%","5,83%"
9,Gold Spot $/oz,"1347,33","2,52%","2,28%"
10,EUR/USD,"1,2353","0,51%","2,44%"
11,EUR/GBP,"0,8742","-0,85%","-1,50%"
12,Libor USD 3M,"2,29%","898,00 bp","35,04 bp"
13,Euribor 3M,"-0,33%","-10,00 bp","-0,00 bp"
14,UST 10Y,"2,81%","-310,00 bp","14,22 bp"
15,Germany 10Y,"0,53%","-440,00 bp","12,85 bp"
16,France 10Y,"0,76%","-580,00 bp","-7,78 bp"
17,Bitcoin,"8 505,0","10,66%","-43,23%"
